,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Longitude,Latitude,zone_ID
400,,,,,,,775.9,,,,,,-74.348879,40.448674,11
401,,,,,,,480.0,,,,,,-83.1778,39.7139,22
402,,,,,,,300.0,,,,,,-87.753189,41.440893,17
403,,,,,,,300.0,,,,,,-87.6187,41.429444,17
404,,,,,,,38.0,,,,,,-83.641236,41.397369,20
405,,,,,,,38.0,,,,,,-82.789,40.7167,22
406,,,,,,,38.0,,,,,,-84.1095,41.4079,20
407,,,,,,,450.0,,,,,,-82.5339,38.3681,22
408,,,,,,,971.9,,,,,,-88.2265,41.8151,17
409,,,,,,,300.0,,,,,,-82.5938,38.3441,22
410,,,,,,,326.1,,,,,,-87.5563,41.6835,17
411,,,,,,,1280.0,,,,,,-74.7411,40.1475,5
412,,,,,,,760.0,,,,,,-76.3658,40.3509,2
413,,,,,,,670.7,,,,,,-79.351725,40.638021,15
414,,,,,,,707.3,,,,,,-83.45983,41.47724,20
415,,,,,,,339.5,,,,,,-81.3642,39.3325,15
416,,,,,,,540.0,,,,,,-82.0276,40.0928,22
417,10.4,,,,,,,,,,,,-79.070556,39.851389,3
418,,,,,,,92.7,,,,,,-79.838888,39.7475,15
419,,,,,,,478.0,,,,,,-87.895,42.4776,17
420,,,,,,,661.0,,,,,,-81.6564,39.58,22
421,,,,,,,925.0,,,,,,-82.3328,39.0839,22
422,,,,,,,489.3,,,,,,-88.244572,42.000061,17
423,,,,,,,930.1,,,,,,-78.3813,37.8667,13
424,,,,,,,866.0,,,,,,-81.7178,39.5333,22
425,,,,,,,667.6,,,,,,-79.9182,39.8592,15
426,,,,,,,1404.0,,,,,,-76.306666,39.7375,5
427,,,,,,,540.0,,,,,,-87.7514,41.4425,17
428,,,,,,,98.2,,,,,,-77.685833,39.866944,15
429,,,,,,,601.6,,,,,,-75.107563,40.801924,2
430,,,,,,,1136.0,,,,,,-75.3147,40.6175,4
431,,,,,,,685.1,,,,,,-83.161388,41.377116,20
432,,,,,,,562.5,,,,,,-79.768611,40.545278,10
433,,,,,,,1365.0,,,,,,-82.7833,38.5731,22
434,,,,,,,84.0,,,,,,-81.961388,37.175278,22
435,,7.2,,,,,,,,,,,-75.2627,40.8592,2
436,,,,,,,855.1,,,,,,-75.421606,39.807038,5
437,,,,,,,,,,,9.0,,-79.012778,39.979167,3
438,,,,,,,,,,,15.0,,-79.393644,39.913408,15
439,,,,,,,180.9,,,,,,-89.1011,42.2383,17
440,,,,,,,325.6,,,,,,-74.1672,40.0633,11
441,,,,,,,1370.0,,,,,,-78.177222,38.971667,13
442,,,,,,,,,3.2,,,,-76.926667,36.659167,13
443,,,,,,,,,3.2,,,,-76.921944,36.680278,13
444,,3.2,,,,,,,,,,,-76.785912,38.847585,6
445,,,,,,,810.5,,,,,,-77.1672,39.8725,2
446,,,,,,,,,,,66.0,,-79.5372,39.1828,15
